trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
186,False,"{'a': 0.5, 'e': 0.024723526470339388}",20,8,21.77793875768192,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.024233967845691113}",30,17,21.25335147433392,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.023754103131304997}",25,10,29.204664649030036,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.023283740374897}",25,15,14.449268782845284,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.02282269142509297}",20,11,15.208089554493574,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.02237077185616559}",25,14,18.892148579066728,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.02192780089426161}",20,13,13.664616154520811,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.021493601345089923}",20,7,20.634761749231153,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.021067999523041434}",20,12,-25.771790441057444,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
195,False,"{'a': 0.5, 'e': 0.020650825181712566}",20,8,20.691223133594832,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.02024191144580439}",20,6,26.296407406995026,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.019841094744370288}",20,14,8.834318560908509,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.01944821474538539}",30,12,33.58869453050335,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.019063114291611637}",30,11,35.972733183293585,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.018685639337732773}",20,13,10.99619725194202,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.01831563888873418}",25,12,26.042831610528477,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
